         time;          counts;events
  1.007256584;         8323752;cache-misses                                                
  1.007256584;         1739961;dTLB-loads-misses                                           
  1.007256584;           20714;page-faults                                                 
  2.007703497;         4068857;cache-misses                                                
  2.007703497;         1361214;dTLB-loads-misses                                           
  2.007703497;             587;page-faults                                                 
  3.009039854;        11182463;cache-misses                                                
  3.009039854;         1654417;dTLB-loads-misses                                           
  3.009039854;            6703;page-faults                                                 
  4.010946137;        22498208;cache-misses                                                
  4.010946137;         2168694;dTLB-loads-misses                                           
  4.010946137;           25775;page-faults                                                 
  5.014036522;        65053293;cache-misses                                                
  5.014036522;         4259877;dTLB-loads-misses                                           
  5.014036522;           80369;page-faults                                                 
  6.019632311;        37485409;cache-misses                                                
  6.019632311;         3278840;dTLB-loads-misses                                           
  6.019632311;           17028;page-faults                                                 
  7.021305340;        73236679;cache-misses                                                
  7.021305340;         5243653;dTLB-loads-misses                                           
  7.021305340;           30047;page-faults                                                 
  8.023423152;        51404882;cache-misses                                                
  8.023423152;         3407038;dTLB-loads-misses                                           
  8.023423152;            3816;page-faults                                                 
  9.027689965;        69972057;cache-misses                                                
  9.027689965;         4291787;dTLB-loads-misses                                           
  9.027689965;           49600;page-faults                                                 
 10.029233695;        48553442;cache-misses                                                
 10.029233695;         3336455;dTLB-loads-misses                                           
 10.029233695;           38607;page-faults                                                 
 11.030879766;        17636270;cache-misses                                                
 11.030879766;         1936323;dTLB-loads-misses                                           
 11.030879766;            4286;page-faults                                                 
 12.031666222;        20942526;cache-misses                                                
 12.031666222;         2522184;dTLB-loads-misses                                           
 12.031666222;            9257;page-faults                                                 
 13.034313625;        21500096;cache-misses                                                
 13.034313625;         2404893;dTLB-loads-misses                                           
 13.034313625;           10818;page-faults                                                 
 14.035715377;        69633145;cache-misses                                                
 14.035715377;         3933825;dTLB-loads-misses                                           
 14.035715377;           19277;page-faults                                                 
 15.037224325;        62240016;cache-misses                                                
 15.037224325;         3555510;dTLB-loads-misses                                           
 15.037224325;            2600;page-faults                                                 
 16.038840510;        60796073;cache-misses                                                
 16.038840510;         3464797;dTLB-loads-misses                                           
 16.038840510;            9617;page-faults                                                 
 17.039669200;       101386077;cache-misses                                                
 17.039669200;         4904293;dTLB-loads-misses                                           
 17.039669200;           39355;page-faults                                                 
 18.041411179;        90603755;cache-misses                                                
